true_label,predicted_label,confidence,entropy,margin
1,1,0.5089429,0.6929872,0.017885804
0,1,0.5259066,0.6918043,0.051813245
1,0,0.8511466,0.4207151,0.70229316
0,1,0.59065527,0.6766192,0.18131053
1,0,0.8917687,0.3428014,0.7835374
0,0,0.86893237,0.38841122,0.73786473
1,0,0.90504223,0.31386065,0.81008446
0,1,0.525907,0.69180423,0.05181396
1,0,0.8797232,0.3674761,0.7594464
0,1,0.5512835,0.68787795,0.10256696
1,0,0.6781348,0.6282674,0.3562696
0,1,0.5446661,0.68915176,0.08933222
0,0,0.88211316,0.3626934,0.7642263
1,0,0.90932775,0.30409044,0.8186555
1,0,0.67977893,0.627036,0.3595579
1,0,0.67814124,0.62826264,0.35628247
1,0,0.9098025,0.30299455,0.819605
1,0,0.67813545,0.6282669,0.3562709
1,0,0.89011514,0.3462745,0.7802303
1,0,0.9051947,0.3135168,0.8103894
1,0,0.50807315,0.6930169,0.016146302
0,0,0.87792665,0.37103575,0.7558533
1,0,0.90323377,0.31791896,0.80646753
1,0,0.8731869,0.38028336,0.7463738
1,0,0.50570595,0.6930821,0.011411905
1,1,0.500435,0.69314677,0.0008699894
0,1,0.5531213,0.6874927,0.10624266
1,0,0.8997251,0.32568663,0.79945016
0,1,0.5488814,0.68836075,0.09776282
1,0,0.8969136,0.33181205,0.7938272
1,1,0.56335074,0.6850989,0.12670147
1,0,0.9056888,0.31240046,0.81137764
1,1,0.56335783,0.6850971,0.12671566
1,0,0.6781439,0.6282606,0.35628784
1,0,0.8969136,0.33181205,0.7938272
1,0,0.5160963,0.6926289,0.032192588
1,0,0.8828809,0.36114538,0.76576185
0,1,0.5192841,0.6924032,0.03856826
0,1,0.55123,0.6878889,0.10246003
0,0,0.913613,0.29409793,0.82722604
0,1,0.54710007,0.6887038,0.094200134
1,1,0.6024717,0.6719967,0.20494342
1,0,0.90241593,0.31974196,0.80483186
1,0,0.9063315,0.31094426,0.81266296
0,1,0.58376837,0.6790465,0.16753674
1,1,0.55075157,0.68798685,0.101503134
0,0,0.87609106,0.3746416,0.7521821
1,1,0.5633427,0.685101,0.12668538
0,0,0.88033193,0.36626312,0.76066387
1,0,0.5104401,0.69292915,0.020880252
1,1,0.5380942,0.69024205,0.076188445
1,1,0.5633472,0.68509984,0.12669444
1,1,0.500435,0.69314677,0.0008699894
1,0,0.6781156,0.6282817,0.3562312
1,1,0.56567544,0.6844957,0.13135087
0,0,0.85225415,0.418779,0.7045083
1,0,0.90585303,0.31202886,0.81170607
0,0,0.87609106,0.3746416,0.7521821
0,1,0.56849843,0.6837336,0.13699687
1,0,0.50570595,0.6930821,0.011411905
1,0,0.50618684,0.69307065,0.012373656
1,1,0.50232166,0.6931364,0.004643321
1,0,0.50381935,0.69311804,0.0076387227
0,0,0.8522544,0.41877866,0.7045088
1,0,0.8769067,0.37304318,0.7538134
0,0,0.67729163,0.6288941,0.35458323
1,0,0.88189805,0.3631261,0.7637961
1,1,0.56569976,0.68448925,0.13139951
1,0,0.9015524,0.32165858,0.80310476
1,1,0.56351036,0.68505824,0.12702072
0,0,0.6677125,0.6357868,0.33542502
1,0,0.9252171,0.26583877,0.8504342
1,0,0.5264727,0.6917449,0.052945405
1,0,0.88596654,0.35486606,0.7719331
1,1,0.5108289,0.6929126,0.021657825
1,0,0.8897238,0.3470925,0.77944756
1,0,0.6776978,0.6285926,0.35539553
1,0,0.88365906,0.35957062,0.7673181
1,1,0.56149346,0.6855651,0.12298691
1,0,0.50522506,0.6930926,0.010450125
1,0,0.50381935,0.69311804,0.0076387227
0,0,0.88636905,0.35404003,0.7727381
0,0,0.8439626,0.43304014,0.6879252
1,1,0.5633481,0.6850996,0.12669623
1,0,0.6779208,0.6284268,0.35584164
1,0,0.88365906,0.35957062,0.7673181
1,0,0.85134727,0.42036498,0.70269454
1,0,0.8962137,0.33332354,0.7924274
1,0,0.89356923,0.3389873,0.78713846
1,0,0.93538105,0.23949194,0.8707621
1,0,0.87234885,0.38189715,0.7446977
1,1,0.5108286,0.6929127,0.021657228
1,0,0.6781361,0.62826645,0.3562722
1,0,0.5037823,0.6931186,0.0075645745
0,1,0.5447518,0.6891364,0.089503646
0,1,0.5759266,0.68157274,0.1518532
1,0,0.50381935,0.69311804,0.0076387227
0,0,0.90224534,0.32012123,0.8044907
1,0,0.8844327,0.35799918,0.76886535
0,1,0.54654825,0.6888074,0.093096495
1,0,0.90790236,0.30736428,0.8158047
0,1,0.5619917,0.68544143,0.12398338
1,0,0.8912104,0.34397727,0.78242075
0,0,0.8758821,0.37505016,0.7517642
1,1,0.5465396,0.68880904,0.09307921
1,0,0.6781436,0.62826085,0.35628727
0,1,0.51082855,0.69291264,0.02165711
1,1,0.5108289,0.6929126,0.021657825
0,1,0.5305897,0.6912745,0.0611794
0,1,0.5601534,0.6858927,0.12030685
1,0,0.8842359,0.3583994,0.76847184
1,1,0.50232166,0.6931364,0.004643321
1,1,0.50232166,0.6931364,0.004643321
1,0,0.8834611,0.35997176,0.76692224
1,0,0.681839,0.6254755,0.36367798
0,1,0.5535848,0.6873935,0.10716963
1,0,0.8969136,0.33181205,0.7938272
1,0,0.8787333,0.36944127,0.75746655
1,0,0.8748489,0.3770641,0.7496978
0,0,0.86893237,0.38841122,0.73786473
1,0,0.9101056,0.30229348,0.8202112
1,1,0.56334865,0.6850995,0.1266973
1,0,0.8797379,0.36744687,0.7594758
1,0,0.9085438,0.30589402,0.81708765
1,0,0.90760505,0.30804414,0.8152101
1,0,0.9210709,0.27614608,0.84214175
0,0,0.8740202,0.37867236,0.74804044
1,0,0.8974596,0.33062917,0.79491925
0,0,0.883095,0.36071265,0.76619005
1,0,0.68552285,0.6226362,0.3710457
1,0,0.51986486,0.6923578,0.039729714
1,0,0.91224927,0.2973027,0.82449853
1,0,0.5004899,0.6931467,0.0009797812
1,1,0.5633404,0.68510157,0.12668085
1,0,0.67813176,0.6282697,0.35626352
1,0,0.50807315,0.6930169,0.016146302
1,1,0.5108179,0.69291306,0.02163577
0,1,0.55364877,0.6873797,0.10729754
1,0,0.9080755,0.3069679,0.816151
1,1,0.5549954,0.6870859,0.109990835
0,0,0.9480009,0.20435986,0.8960018
0,0,0.8731868,0.38028347,0.74637365
0,1,0.5380877,0.690243,0.07617545
1,0,0.51373065,0.6927701,0.02746132
1,1,0.5591537,0.68613243,0.11830735
0,1,0.52593887,0.69180095,0.051877737
1,0,0.8764922,0.37385625,0.7529844
1,1,0.5108289,0.6929126,0.021657825
0,1,0.55312645,0.68749166,0.10625291
1,0,0.8919399,0.3424402,0.78387976
1,1,0.5614913,0.68556565,0.12298262
1,1,0.5108295,0.6929126,0.021659017
1,0,0.9050294,0.3138895,0.81005883
0,1,0.54144734,0.68970746,0.08289468
0,0,0.8760912,0.37464133,0.75218236
1,1,0.5089429,0.6929872,0.017885804
1,0,0.5019327,0.6931397,0.0038653612
0,1,0.55915564,0.686132,0.118311286
1,0,0.6781266,0.62827355,0.35625318
1,0,0.5019327,0.6931397,0.0038653612
0,0,0.87085783,0.38475272,0.74171567
1,0,0.9020634,0.32052532,0.80412686
0,0,0.67814505,0.6282598,0.35629013
1,1,0.5089429,0.6929872,0.017885804
0,1,0.5568694,0.6866649,0.113738775
1,0,0.8513535,0.42035407,0.70270705
1,0,0.8902887,0.34591126,0.7805774
1,0,0.87628376,0.37426448,0.7525675
0,1,0.50894254,0.69298726,0.017885089
1,1,0.51082873,0.69291264,0.021657467
1,0,0.9013947,0.3220076,0.80278945
1,1,0.563344,0.6851007,0.126688
1,1,0.5509946,0.68793726,0.10198915
0,0,0.6781322,0.6282694,0.35626435
1,0,0.87318695,0.38028324,0.7463739
1,1,0.55496514,0.6870926,0.10993028
0,0,0.8731868,0.38028347,0.74637365
1,0,0.8962137,0.33332354,0.7924274
0,1,0.5507531,0.6879865,0.10150623
1,1,0.56334704,0.6850999,0.12669408
1,0,0.8844327,0.35799918,0.76886535
1,0,0.9063315,0.31094426,0.81266296
0,1,0.5489512,0.68834704,0.09790242
1,0,0.90373707,0.31679335,0.80747414
0,0,0.8906784,0.34509462,0.7813568
1,0,0.87234885,0.38189715,0.7446977
1,1,0.51082546,0.6929128,0.02165091
1,1,0.50705665,0.6930476,0.014113307
0,1,0.5470874,0.68870616,0.09417474
1,0,0.67813456,0.6282676,0.3562691
0,1,0.5961167,0.6745548,0.19223344
0,0,0.8856074,0.35560164,0.77121484
1,1,0.5046893,0.6931032,0.009378552
1,0,0.8842359,0.3583994,0.76847184
0,0,0.8748488,0.37706432,0.74969757
1,1,0.554958,0.6870942,0.10991597
1,1,0.50232166,0.6931364,0.004643321
0,0,0.8882629,0.35013175,0.77652586
1,0,0.9060043,0.3116862,0.8120086
1,1,0.5446664,0.68915164,0.08933282
0,1,0.5591613,0.68613064,0.11832261
1,0,0.8787332,0.3694414,0.75746644
1,0,0.67812574,0.62827414,0.35625148
1,0,0.6781322,0.6282694,0.35626438
1,0,0.9099359,0.3026861,0.8198718
1,0,0.8828809,0.36114538,0.76576185
1,0,0.9072819,0.30878186,0.81456375
1,0,0.51136446,0.69288886,0.02272889
0,1,0.52354544,0.692038,0.047090888
0,0,0.87751323,0.3718506,0.75502646
0,0,0.84888756,0.4246339,0.6977751
0,1,0.5620199,0.68543446,0.12403977
1,0,0.88365906,0.35957062,0.7673181
0,0,0.8742319,0.3782622,0.74846375
1,0,0.50381935,0.69311804,0.0076387227
1,0,0.9043788,0.31535387,0.80875754
