true_label,predicted_label,confidence,entropy,margin
0,0,0.9988597,0.008866867,0.9977194
0,0,0.9999999,2.1376331e-06,0.99999976
0,0,1.0,9.55938e-10,1.0
0,0,1.0,2.8517835e-10,1.0
0,0,0.99895066,0.008246689,0.9979013
1,0,1.0,5.129345e-09,1.0
1,1,0.9937184,0.038110435,0.9874368
1,1,0.9999999,2.0196896e-06,0.99999976
0,0,0.819167,0.47265422,0.63833404
1,1,0.9934243,0.03959283,0.9868486
0,0,1.0,6.253227e-10,1.0
1,0,0.99982196,0.0017153285,0.9996439
1,1,0.99387604,0.037310094,0.9877521
0,0,0.9988705,0.008793538,0.997741
0,0,1.0,1.7700148e-09,1.0
1,1,0.9990079,0.007852794,0.99801576
0,0,0.9989597,0.008184665,0.99791944
0,0,0.9984803,0.011380088,0.99696064
0,0,1.0,1.7171775e-09,1.0
0,0,1.0,4.7900745e-08,1.0
1,1,1.0,2.763102e-11,1.0
0,0,1.0,2.763102e-11,1.0
1,1,0.8944596,0.33708864,0.7889192
0,0,0.9998522,0.0014516438,0.99970436
0,0,1.0,2.763102e-11,1.0
1,1,0.9814988,0.09214738,0.96299756
1,1,1.0,2.763102e-11,1.0
1,1,1.0,2.763102e-11,1.0
1,1,0.8902117,0.3460725,0.7804234
1,0,0.9772518,0.108549885,0.95450366
1,0,0.9842153,0.081145585,0.96843064
1,1,0.9999995,7.417722e-06,0.99999905
1,1,0.993869,0.037345886,0.987738
1,1,0.9973085,0.018615292,0.994617
0,0,1.0,5.2890684e-08,1.0
0,0,0.99985224,0.0014511213,0.9997045
1,1,0.9946636,0.033248626,0.9893272
1,0,0.99999994,7.9483357e-07,0.9999999
1,1,0.99999964,5.6661747e-06,0.9999993
0,0,1.0,4.1297343e-10,1.0
0,0,0.98256713,0.08787273,0.96513426
1,0,0.9999998,3.0676865e-06,0.99999964
1,1,0.9999987,1.9072222e-05,0.9999974
1,0,0.9982593,0.0127985235,0.9965186
1,1,0.99998283,0.00020552268,0.99996567
0,0,1.0,8.711995e-10,1.0
1,0,0.99899626,0.007932929,0.9979925
0,0,0.9481102,0.2040424,0.89622045
1,1,1.0,2.763102e-11,1.0
0,0,0.96262944,0.15949574,0.9252589
0,0,1.0,1.335655e-09,1.0
1,1,0.9951233,0.030824717,0.99024665
0,0,1.0,3.0752115e-10,1.0
0,0,0.9989543,0.00822186,0.9979086
0,0,1.0,3.7840764e-10,1.0
1,1,1.0,2.763102e-11,1.0
1,1,0.9999999,2.0196896e-06,0.99999976
1,1,1.0,2.763102e-11,1.0
0,0,0.99893177,0.008376362,0.99786353
0,0,1.0,4.337712e-10,1.0
1,0,0.6661918,0.6368428,0.33238363
1,1,0.974964,0.11703862,0.94992805
0,0,0.9908499,0.052058563,0.9816998
1,0,0.93214196,0.24806283,0.8642839
