true_label,predicted_label,confidence,entropy,margin
1,1,0.99975854,0.0022524914,0.9995171
0,1,0.805816,0.49223325,0.611632
1,0,0.89066887,0.3451146,0.78133774
0,1,0.94698167,0.20730841,0.89396334
1,0,0.7833792,0.5225976,0.5667584
0,1,0.5509758,0.6879411,0.1019516
1,0,0.9042753,0.31558636,0.8085506
0,1,0.8059244,0.4920789,0.61184883
1,0,0.64679694,0.6494069,0.2935939
0,1,0.78984284,0.5141648,0.5796857
1,0,0.9423266,0.22051716,0.8846532
0,1,0.8031834,0.49595752,0.60636675
0,0,0.52627885,0.6917654,0.052557737
1,0,0.96667236,0.14612556,0.9333447
1,0,0.9378469,0.23285127,0.8756938
1,0,0.9399884,0.22699957,0.87997675
1,0,0.94976497,0.19920674,0.89952993
1,0,0.9413894,0.22312735,0.88277876
1,0,0.7624748,0.54821044,0.52494955
1,0,0.94568896,0.21101832,0.8913779
1,1,0.9996971,0.0027570701,0.9993942
0,1,0.58219695,0.67957294,0.1643939
1,0,0.91916955,0.280793,0.8383391
1,1,0.60427374,0.67124075,0.20854747
1,1,0.99969006,0.0028139718,0.9993801
1,1,0.9997309,0.0024813039,0.99946177
0,1,0.6526175,0.6458112,0.30523503
1,0,0.76089144,0.5500502,0.5217829
0,1,0.8021766,0.49737018,0.6043532
1,0,0.97421336,0.11977625,0.9484267
1,1,0.81153446,0.4839903,0.6230689
1,0,0.91595256,0.288545,0.8319051
1,1,0.81361806,0.480934,0.6272361
1,0,0.9428188,0.21913996,0.88563764
1,0,0.97421336,0.11977625,0.9484267
1,1,0.99961394,0.0034202253,0.9992279
1,0,0.75658345,0.55498624,0.5131669
0,1,0.82213867,0.468135,0.64427733
0,1,0.78750676,0.51724136,0.5750135
0,0,0.94453007,0.21431653,0.88906014
0,1,0.79355574,0.5092073,0.5871115
1,0,0.52123386,0.6922451,0.042467713
1,0,0.84437,0.43235183,0.68874
1,0,0.9265466,0.26248163,0.85309315
0,1,0.96007675,0.16770014,0.9201535
1,1,0.81532925,0.47840255,0.6306585
0,1,0.599713,0.67312783,0.19942605
1,1,0.8113895,0.4842019,0.622779
0,0,0.5058092,0.6930797,0.011618406
1,1,0.9997038,0.0027024266,0.99940765
1,1,0.81951475,0.4721285,0.6390295
1,1,0.8115132,0.48402137,0.6230264
1,1,0.9997309,0.0024813039,0.99946177
1,0,0.9408201,0.22470504,0.8816402
1,1,0.7971841,0.5042814,0.5943682
0,0,0.9666628,0.14615764,0.93332565
1,0,0.903041,0.31834936,0.806082
0,1,0.5997136,0.6731276,0.19942725
0,1,0.7601135,0.5509491,0.52022696
1,1,0.99969006,0.0028139718,0.9993801
1,1,0.9997212,0.0025605056,0.99944246
1,1,0.9997522,0.00230503,0.99950445
1,1,0.99971455,0.0026150658,0.9994291
0,0,0.96656513,0.14648648,0.93313026
1,1,0.58730114,0.6778258,0.17460227
0,0,0.9253449,0.26551718,0.85068977
1,0,0.76668537,0.54325056,0.53337073
1,1,0.7966789,0.5049721,0.5933578
1,0,0.9600709,0.16771877,0.9201418
1,1,0.8413013,0.43750566,0.68260264
0,0,0.9057268,0.3123145,0.8114536
1,0,0.9894548,0.058492083,0.9789096
1,1,0.9995171,0.004170192,0.99903417
1,0,0.8396207,0.44029832,0.6792414
1,1,0.9997793,0.0020788186,0.99955857
1,0,0.9093396,0.30406305,0.8186792
1,0,0.82110965,0.4697067,0.6422193
1,0,0.7801089,0.52677006,0.56021786
1,1,0.798926,0.5018877,0.597852
1,1,0.99965346,0.0031075529,0.9993069
1,1,0.99971455,0.0026150658,0.9994291
0,0,0.61639,0.6658038,0.23278001
0,0,0.976721,0.11053974,0.953442
1,1,0.8115379,0.48398525,0.62307584
1,0,0.89318514,0.33980376,0.7863703
1,0,0.7801089,0.52677006,0.56021786
1,0,0.97374684,0.121466234,0.9474937
1,0,0.97069126,0.13233103,0.9413825
1,0,0.8780601,0.37077233,0.7561202
1,0,0.9959725,0.026229264,0.991945
1,1,0.63418317,0.65669173,0.26836634
1,1,0.99978083,0.0020657673,0.99956167
1,0,0.94250137,0.2200287,0.88500273
1,1,0.99951446,0.004190209,0.9990289
0,1,0.8100361,0.4861706,0.62007225
0,1,0.6689494,0.6349201,0.33789885
1,1,0.99971455,0.0026150658,0.9994291
0,0,0.8551833,0.41361177,0.7103666
1,0,0.8017874,0.4979146,0.60357475
0,1,0.8169326,0.47601297,0.63386524
1,0,0.981592,0.09177698,0.963184
0,1,0.77781934,0.52965415,0.5556387
1,0,0.8488219,0.42474726,0.69764376
0,1,0.55550647,0.6869725,0.111012936
1,1,0.81657255,0.47655112,0.6331451
1,0,0.6253227,0.6613982,0.25064537
0,1,0.9997788,0.0020828324,0.9995576
1,1,0.9997793,0.0020788186,0.99955857
0,1,0.7731309,0.5354655,0.5462618
0,1,0.5903927,0.6767153,0.18078542
1,0,0.8290976,0.45731416,0.65819526
